State,Region,Party,Population,% Married-Couple Household,% Bachelor's or Higher,% Speaks Non-English at Home,% Civilian Veterans,% With a Computer,Median Income
Alaska,West,R,Mid-High,49.5,32.8,14.2,9.9,97.5,"92,788"
Alabama,South,R,Low,45.9,29.9,6.4,7.5,95.6,"63,999"
Arkansas,South,R,Mid-High,47.3,27.1,8.8,6.9,95.3,"60,773"
Arizona,West,R,Mid-Low,46.6,34.7,25.9,7.4,97.4,"79,964"
California,West,D,High,47.8,38.1,45.3,4.0,97.6,"99,122"
Colorado,West,D,Mid-High,48.3,47.8,16.7,7.0,98.0,"95,470"
Connecticut,Northeast,D,Mid-Low,45.6,42.6,23.7,4.4,96.4,"95,781"
District of Columbia,South,D,Low,25.0,65.5,21.3,3.1,97.2,"109,870"
Delaware,South,D,Low,47.6,36.0,16.2,7.2,97.0,"84,954"
Florida,South,R,High,46.9,35.8,32.0,7.0,97.6,"74,568"
Georgia,South,R,High,46.7,36.3,16.3,7.0,96.9,"77,353"
Hawaii,West,D,Low,49.0,37.8,25.1,7.6,97.1,"100,389"
Iowa,Midwest,R,Mid-Low,47.8,32.1,9.7,6.2,96.2,"75,059"
Idaho,West,R,High,54.6,33.0,11.4,7.4,97.5,"77,800"
Illinois,Midwest,D,Mid-High,44.8,39.2,24.5,4.5,96.3,"83,390"
Indiana,Midwest,R,Mid-Low,46.6,30.7,11.2,5.9,95.9,"71,957"
Kansas,Midwest,R,Mid-Low,49.1,36.0,12.6,6.6,96.5,"74,275"
Kentucky,South,R,Mid-Low,46.5,27.9,7.5,6.2,94.6,"63,726"
Louisiana,South,R,Mid-High,41.6,27.8,9.0,6.0,95.2,"60,756"
Massachusetts,Northeast,D,Low,45.3,48.3,25.8,3.9,96.6,"103,960"
Maryland,South,D,Mid-High,45.5,44.7,21.8,6.8,97.1,"103,678"
Maine,Northeast,D,Mid-High,47.7,37.1,6.3,7.6,96.4,"74,733"
Michigan,Midwest,R,High,45.9,33.3,11.1,5.4,96.3,"72,875"
Minnesota,Midwest,D,Mid-High,48.2,40.0,13.1,5.5,96.7,"89,062"
Missouri,Midwest,R,Mid-Low,46.5,33.5,7.4,7.0,96.0,"70,702"
Mississippi,South,R,Mid-High,43.4,27.0,4.6,6.3,94.7,"56,447"
Montana,West,R,Low,49.0,36.3,4.5,8.4,95.8,"72,509"
North Carolina,South,R,Mid-Low,47.0,37.1,14.4,7.2,96.3,"72,388"
North Dakota,Midwest,R,Mid-Low,45.4,34.0,7.0,6.9,96.1,"76,657"
Nebraska,Midwest,R,Low,48.9,35.4,14.0,6.4,96.2,"76,475"
New Hampshire,Northeast,D,High,50.3,41.5,8.1,7.0,97.1,"99,031"
New Jersey,Northeast,D,Mid-Low,49.8,44.5,34.3,3.4,97.0,"103,556"
New Mexico,West,D,High,40.5,31.8,31.4,7.5,95.6,"64,059"
Nevada,West,R,High,43.5,28.5,31.0,7.2,97.8,"78,260"
New York,Northeast,D,Low,42.0,41.2,31.6,3.5,95.9,"85,974"
Ohio,Midwest,R,High,44.6,32.4,8.7,6.2,95.7,"71,389"
Oklahoma,South,R,Mid-Low,46.6,29.3,12.0,7.5,96.3,"65,039"
Oregon,West,D,Mid-Low,46.8,37.8,15.4,6.8,97.3,"83,011"
Pennsylvania,Northeast,R,High,46.1,36.4,13.1,5.8,95.3,"77,971"
Rhode Island,Northeast,D,Low,43.2,39.0,23.6,4.8,95.9,"87,796"
South Carolina,South,R,Mid-High,48.1,33.3,9.0,8.1,96.1,"69,324"
South Dakota,Midwest,R,Low,49.3,34.2,7.0,7.4,95.2,"75,081"
Tennessee,South,R,Mid-High,46.7,32.4,9.3,7.1,95.9,"69,595"
Texas,South,R,High,48.7,35.2,35.7,6.0,97.2,"78,476"
Utah,West,R,Mid-Low,57.4,39.1,16.5,4.3,98.3,"95,166"
Virginia,South,D,Low,48.3,43.3,18.2,8.9,96.3,"93,170"
Vermont,Northeast,D,High,45.1,45.1,5.8,5.7,96.2,"81,203"
Washington,West,D,High,48.5,41.0,22.3,7.3,97.8,"98,141"
Wisconsin,Midwest,R,Low,46.3,34.6,9.6,5.8,95.9,"77,485"
West Virginia,South,R,Mid-High,47.2,24.4,2.8,7.3,93.0,"59,608"
Wyoming,West,R,Low,49.9,32.3,6.4,8.1,95.7,"76,176"
